road_link_id,name,from_node_id,to_node_id,link_geom_id,dir_flag,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,facility_type,grade,from_node,to_node,length,LinkType,Desc
108 101854,,108,101854,255,1,1800,25,1,,,,,HOT,,108,101854,258,6,HOT
108 101858,,108,101858,256,1,1800,25,1,,,,,HOT,,108,101858,248,6,HOT
109 100027,,109,100027,257,1,1800,25,1,,,,,HOT,,109,100027,228,6,HOT
109 100038,,109,100038,258,1,1800,25,1,,,,,HOT,,109,100038,230,6,HOT
109 100039,,109,100039,259,1,1800,25,1,,,,,HOT,,109,100039,212,6,HOT
109 100041,,109,100041,260,1,1800,25,1,,,,,HOT,,109,100041,257,6,HOT
110 100064,,110,100064,261,1,1800,25,1,,,,,HOT,,110,100064,521,6,HOT
110 100192,,110,100192,262,1,1800,25,1,,,,,HOT,,110,100192,549,6,HOT
110 100255,,110,100255,263,1,1800,25,1,,,,,HOT,,110,100255,387,6,HOT
110 101842,,110,101842,264,1,1800,25,1,,,,,HOT,,110,101842,595,6,HOT
111 100178,,111,100178,265,1,1800,25,1,,,,,HOT,,111,100178,841,6,HOT
111 100179,,111,100179,266,1,1800,25,1,,,,,HOT,,111,100179,769,6,HOT
111 101843,,111,101843,267,1,1800,25,1,,,,,HOT,,111,101843,750,6,HOT
111 101846,,111,101846,268,1,1800,25,1,,,,,HOT,,111,101846,587,6,HOT
132 100254,,132,100254,324,1,1800,25,1,,,,,HOT,,132,100254,106,6,HOT
132 101960,,132,101960,325,1,1800,25,1,,,,,HOT,,132,101960,175,6,HOT
133 101882,,133,101882,326,1,1800,25,1,,,,,HOT,,133,101882,655,6,HOT
134 100288,,134,100288,328,1,1800,25,1,,,,,HOT,,134,100288,1306,6,HOT
134 101869,,134,101869,329,1,1800,25,1,,,,,HOT,,134,101869,163,6,HOT
134 101911,,134,101911,330,1,1800,25,1,,,,,HOT,,134,101911,517,6,HOT
134 102000,,134,102000,331,1,1800,25,1,,,,,HOT,,134,102000,1220,6,HOT
135 100011,,135,100011,332,1,1800,25,1,,,,,HOT,,135,100011,256,6,HOT
135 100024,,135,100024,333,1,1800,25,1,,,,,HOT,,135,100024,250,6,HOT
135 100025,,135,100025,334,1,1800,25,1,,,,,HOT,,135,100025,187,6,HOT
135 100027,,135,100027,335,1,1800,25,1,,,,,HOT,,135,100027,264,6,HOT
175 101846,,175,101846,424,1,1800,25,1,,,,,HOT,,175,101846,290,6,HOT
175 101854,,175,101854,425,1,1800,25,1,,,,,HOT,,175,101854,211,6,HOT
176 100271,,176,100271,426,1,1800,25,1,,,,,HOT,,176,100271,212,6,HOT
176 100272,,176,100272,427,1,1800,25,1,,,,,HOT,,176,100272,309,6,HOT
177 100271,,177,100271,428,1,1800,25,1,,,,,HOT,,177,100271,279,6,HOT
177 101778,,177,101778,429,1,1800,25,1,,,,,HOT,,177,101778,372,6,HOT
177 101911,,177,101911,430,1,1800,25,1,,,,,HOT,,177,101911,359,6,HOT
178 100273,,178,100273,431,1,1800,25,1,,,,,HOT,,178,100273,283,6,HOT
178 100275,,178,100275,432,1,1800,25,1,,,,,HOT,,178,100275,205,6,HOT
178 100277,,178,100277,433,1,1800,25,1,,,,,HOT,,178,100277,453,6,HOT
178 101856,,178,101856,434,1,1800,25,1,,,,,HOT,,178,101856,380,6,HOT
179 100273,,179,100273,435,1,1800,25,1,,,,,HOT,,179,100273,214,6,HOT
179 100274,,179,100274,436,1,1800,25,1,,,,,HOT,,179,100274,270,6,HOT
179 100278,,179,100278,437,1,1800,25,1,,,,,HOT,,179,100278,401,6,HOT
179 100279,,179,100279,438,1,1800,25,1,,,,,HOT,,179,100279,418,6,HOT
180 100041,,180,100041,439,1,1800,25,1,,,,,HOT,,180,100041,247,6,HOT
180 100276,,180,100276,440,1,1800,25,1,,,,,HOT,,180,100276,270,6,HOT
180 100280,,180,100280,441,1,1800,25,1,,,,,HOT,,180,100280,199,6,HOT
180 100281,,180,100281,442,1,1800,25,1,,,,,HOT,,180,100281,248,6,HOT
181 100163,,181,100163,443,1,1800,25,1,,,,,HOT,,181,100163,394,6,HOT
181 102006,,181,102006,444,1,1800,25,1,,,,,HOT,,181,102006,620,6,HOT
181 102013,,181,102013,445,1,1800,25,1,,,,,HOT,,181,102013,349,6,HOT
182 100283,,182,100283,446,1,1800,25,1,,,,,HOT,,182,100283,282,6,HOT
182 100284,,182,100284,447,1,1800,25,1,,,,,HOT,,182,100284,194,6,HOT
182 101960,,182,101960,448,1,1800,25,1,,,,,HOT,,182,101960,232,6,HOT
184 100165,,184,100165,453,1,1800,25,1,,,,,HOT,,184,100165,389,6,HOT
184 100288,,184,100288,454,1,1800,25,1,,,,,HOT,,184,100288,245,6,HOT
184 101858,,184,101858,455,1,1800,25,1,,,,,HOT,,184,101858,689,6,HOT
