,road_link_id,time_period,volume,travel_time
t0,0,t0,0.0,inf
t1,0,t1,69.95976100333895,49.2879578002653
t2,0,t2,139.91952200667788,26.719188983394243
t3,0,t3,231.40492884335018,17.00292739490032
t4,0,t4,322.89033568002253,12.472692841909643
t5,0,t5,414.3757425166948,9.842837352706333
t6,0,t6,505.8611493533672,8.124456591915738
t7,0,t7,597.3465561900393,6.9140660501603275
t8,0,t8,686.4776443124182,6.015747028600517
t9,0,t9,765.2352417242003,5.5269823174401145
t10,0,t10,825.7184581559646,5.254740058180154
t11,0,t11,866.2512561557322,5.102406236896606
t12,0,t12,890.4325971765296,5.01871327791072
t13,0,t13,903.54247802485,4.974329356595909
t14,0,t14,910.113703398497,4.951843282937726
t15,0,t15,913.2007571285387,4.941006904478426
t16,0,t16,914.5745515314098,4.93603784455046
t17,0,t17,915.1585532943227,4.933862771491017
t18,0,t18,915.3972820060118,4.932949802994386
t19,0,t19,915.4916245280954,4.932580560287098
t20,0,t20,915.5278240484475,4.932436016071015
t21,0,t21,915.5413583540593,4.932381030810436
t22,0,t22,915.546303634041,4.932360635858759
t23,0,t23,915.5480739261799,4.932353238509473
t24,0,t24,915.548696098314,4.932350608489828
t25,0,t25,915.5489111619023,4.932349690023027
t26,0,t26,915.5489843911216,4.932349374413091
t27,0,t27,915.5490089859668,4.932349267538493
t28,0,t28,915.5490171433837,4.932349231827603
t29,0,t29,915.5490198179575,4.932349220040098
t30,0,t30,915.5490206856024,5.058944282049409
t31,0,t31,938.868941298765,5.041511275110488
t32,0,t32,962.19607709028,5.0382334385694625
t33,0,t33,985.5304140998074,5.037777234710072
t34,0,t34,1008.8719382879999,5.037889212192423
t35,0,t35,1032.2206355960031,5.038083235243254
t36,0,t36,1055.5764919647183,5.038263064886308
t37,0,t37,1078.9394933409744,5.038416728669042
t38,0,t38,1101.5248527747267,5.026366251832508
t39,0,t39,1120.980821587164,5.003432984385226
t40,0,t40,1135.5562221374232,4.979231191564394
t41,0,t41,1145.1679874682202,4.9601439215727146
t42,0,t42,1150.868996153032,4.947526428250076
t43,0,t43,1153.977650556208,4.940143802478251
t44,0,t44,1155.5709828544475,4.936205742737488
t45,0,t45,1156.3597262640615,4.934255193336609
t46,0,t46,1156.7525297564569,4.933346428846144
t47,0,t47,1156.9621364984766,4.932944160502439
t48,0,t48,1157.0911760682397,4.932773545685966
t49,0,t49,1157.186236746494,4.932703642019407
t50,0,t50,1157.2674370121094,4.93267569000893
t51,0,t51,1157.3431084941983,4.932664586681099
t52,0,t52,1157.4165805871328,4.932660040192309
t53,0,t53,1157.4891433700789,4.93265797626568
t54,0,t54,1157.561283469322,4.932656829975489
t55,0,t55,1157.6331801688173,4.932656015857095
t56,0,t56,1157.7048981770254,4.932655319899326
t57,0,t57,1157.7764604493586,4.932654665467013
t58,0,t58,1157.8478750303636,4.932654025618827
t59,0,t59,1157.9191447352148,4.932653391039181
t60,0,t60,1157.99027057481,4.932652758554893
t61,0,t61,1158.0612529466741,4.932652127099608
